timestamp,frame,color,color_confidence,intensity,vote_red,vote_green,vote_blue,vote_other,det_confidence,x1,y1,x2,y2,tracking_id,pos3d_x,pos3d_y,pos3d_z,blink_is_blinking,blink_hz,blink_phase,target_color,target_blinking,target_match
1783454348.931,21,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7045,388,705,527,768,-1,56.8795,205.9286,93.0000,,,unknown,blue,True,False
1783454350.147,22,blue,0.5848,0.8575,0.0000,0.0000,1.0000,0.0000,0.9316,344,630,487,730,1,43.6830,202.3214,103.0000,,,unknown,blue,True,False
1783454351.364,23,blue,0.6093,0.8555,0.0000,0.0000,1.0000,0.0000,0.9384,355,602,495,706,1,51.5625,203.3036,110.0000,,,unknown,blue,True,False
1783454352.671,24,blue,0.6173,0.8560,0.0000,0.0000,1.0000,0.0000,0.9254,367,592,503,700,1,57.5000,203.0000,112.0000,,,unknown,blue,True,False
1783454353.966,25,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9297,394,586,533,695,1,72.1384,201.7857,113.0000,,,unknown,blue,True,False
1783454355.352,26,blue,0.6190,0.8840,0.0000,0.0000,1.0000,0.0000,0.9229,405,543,539,650,1,83.4643,195.4821,123.0000,True,0.520,on,blue,True,True
1783454356.751,27,blue,0.7026,0.8798,0.0000,0.0000,1.0000,0.0000,0.9329,363,505,489,607,1,64.8304,193.2679,137.0000,True,0.580,on,blue,True,True
1783454358.066,28,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9332,365,486,484,588,1,,,,True,0.580,off,blue,True,False
1783454359.447,29,blue,0.5578,0.8586,0.0000,0.0000,1.0000,0.0000,0.9062,394,458,511,559,1,96.6429,196.2143,164.0000,True,0.450,on,blue,True,True
1783454360.830,30,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9380,424,489,537,588,1,114.2857,212.8571,160.0000,True,0.490,off,blue,True,False
1783454362.077,31,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9219,428,534,543,633,1,,,,True,0.490,off,blue,True,False
1783454363.509,32,blue,0.5471,0.8574,0.0000,0.0000,1.0000,0.0000,0.9322,423,544,536,642,1,,,,True,0.300,on,blue,True,True
1783454364.877,33,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9105,460,582,577,679,1,,,,False,,off,blue,True,False
1783454366.290,34,blue,0.5490,0.8742,0.0000,0.0000,1.0000,0.0000,0.9098,493,585,603,678,1,,,,True,0.290,on,blue,True,True
1783454367.661,35,blue,0.5160,0.8571,0.0000,0.0000,1.0000,0.0000,0.8914,479,538,581,627,1,,,,True,0.480,on,blue,True,True
1783454368.960,36,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8791,355,525,456,610,1,,,,True,0.480,off,blue,True,False
1783454370.435,37,blue,0.4781,0.8565,0.0000,0.0000,1.0000,0.0000,0.9224,405,541,505,631,1,,,,True,0.440,on,blue,True,True
1783454371.895,38,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9315,374,540,482,633,1,74.7321,239.4196,155.0000,True,0.500,off,blue,True,False
1783454373.058,39,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9089,435,516,557,617,-1,113.9286,211.0268,145.0000,,,unknown,blue,True,False
1783454374.497,40,blue,0.5404,0.8438,0.0000,0.0000,1.0000,0.0000,0.9509,349,525,475,631,3,,,,,,unknown,blue,True,False
1783454375.910,41,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9105,480,563,613,666,3,,,,,,unknown,blue,True,False
1783454377.180,42,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9057,517,579,650,686,3,139.7188,208.2500,119.0000,,,unknown,blue,True,False
1783454378.617,43,blue,0.6236,0.8786,0.0000,0.0000,1.0000,0.0000,0.9128,562,624,702,744,3,,,,,,unknown,blue,True,False
1783454379.968,44,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9358,524,630,674,743,3,,,,False,,off,blue,True,False
1783454381.369,45,blue,0.6100,0.9034,0.0000,0.0000,1.0000,0.0000,0.9213,562,629,710,745,3,,,,False,,on,blue,True,False
1783454382.861,46,blue,0.6299,0.8832,0.0000,0.0000,1.0000,0.0000,0.9373,519,620,666,738,3,121.4286,195.9821,100.0000,True,0.480,on,blue,True,True
1783454384.030,47,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9113,564,513,692,619,-1,180.1250,190.6518,131.0000,,,unknown,blue,True,False
1783454385.480,48,blue,0.5255,0.8623,0.0000,0.0000,1.0000,0.0000,0.8804,603,461,711,562,4,,,,,,unknown,blue,True,False
1783454386.863,49,blue,0.4680,0.8539,0.0000,0.0000,1.0000,0.0000,0.9097,591,467,695,559,4,,,,,,unknown,blue,True,False
1783454388.186,50,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8843,597,490,699,581,4,,,,,,unknown,blue,True,False
1783454389.573,51,blue,0.4654,0.8586,0.0000,0.0000,1.0000,0.0000,0.8948,594,492,697,580,4,,,,,,unknown,blue,True,False
1783454390.968,52,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9051,569,487,678,576,4,,,,False,,off,blue,True,False
1783454392.405,53,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8872,577,497,685,585,4,,,,False,,off,blue,True,False
1783454393.889,54,blue,0.4740,0.8483,0.0000,0.0000,1.0000,0.0000,0.9146,579,487,689,576,4,,,,False,,on,blue,True,False
1783454395.058,55,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8844,579,492,686,581,4,,,,False,,off,blue,True,False
1783454396.389,56,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9023,607,500,713,593,4,,,,False,,off,blue,True,False
1783454397.784,57,blue,0.4673,0.8535,0.0000,0.0000,1.0000,0.0000,0.9128,605,486,714,577,4,,,,False,,on,blue,True,False
1783454399.154,58,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8271,617,495,725,588,4,,,,False,,off,blue,True,False
1783454400.703,59,blue,0.4865,0.8545,0.0000,0.0000,1.0000,0.0000,0.8747,599,493,704,584,4,,,,True,0.300,on,blue,True,True
1783454402.036,60,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8896,584,484,691,574,4,,,,False,,off,blue,True,False
1783454403.491,61,blue,0.4704,0.8553,0.0000,0.0000,1.0000,0.0000,0.9061,567,483,678,574,4,,,,True,0.350,on,blue,True,True
1783454404.902,62,blue,0.4579,0.8495,0.0000,0.0000,1.0000,0.0000,0.8869,518,466,627,557,4,,,,True,0.460,on,blue,True,True
1783454406.373,63,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9049,513,447,626,541,4,193.4196,197.3036,174.0000,True,0.460,off,blue,True,False
1783454407.809,64,blue,0.4989,0.8361,0.0000,0.0000,1.0000,0.0000,0.9126,536,492,665,595,4,170.0000,183.9643,136.0000,True,0.480,on,blue,True,True
1783454409.248,65,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9181,521,557,662,660,4,143.9688,195.5000,119.0000,True,0.480,off,blue,True,False
1783454410.589,66,blue,0.5915,0.8648,0.0000,0.0000,1.0000,0.0000,0.9293,496,562,633,668,4,,,,True,0.350,on,blue,True,True
1783454412.134,67,blue,0.0350,0.8486,0.0038,0.0000,0.9962,0.0000,0.9430,489,542,620,657,4,133.7143,205.1429,128.0000,True,0.480,on,blue,True,True
1783454413.437,68,blue,0.5959,0.8655,0.0000,0.0000,1.0000,0.0000,0.9426,512,547,650,654,4,140.9866,194.4643,121.0000,True,0.520,on,blue,True,True
1783454414.890,69,blue,0.5963,0.8641,0.0000,0.0000,1.0000,0.0000,0.9437,386,644,526,754,4,,,,True,0.710,on,blue,True,True
1783454416.372,70,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9416,467,586,610,697,4,110.9464,204.0804,114.0000,True,0.710,off,blue,True,False
1783454417.901,71,blue,0.5719,0.8555,0.0000,0.0000,1.0000,0.0000,0.9379,396,548,531,670,4,75.9688,196.0312,119.0000,True,0.510,on,blue,True,True
1783454419.362,72,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9454,420,544,557,659,4,90.0000,193.3929,120.0000,True,0.470,off,blue,True,False
1783454420.794,73,blue,0.6029,0.8624,0.0000,0.0000,1.0000,0.0000,0.9302,480,615,623,725,4,113.4375,211.1607,110.0000,True,0.340,on,blue,True,True
1783454422.175,74,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9478,483,652,627,757,4,112.2545,221.6429,107.0000,False,,off,blue,True,False
