timestamp,frame,color,color_confidence,intensity,vote_red,vote_green,vote_blue,vote_other,det_confidence,x1,y1,x2,y2,tracking_id,pos3d_x,pos3d_y,pos3d_z,blink_is_blinking,blink_hz,blink_phase,target_color,target_blinking,target_match
1782948490.361,38,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6546,708,430,739,459,-1,,,,,,unknown,blue,True,False
1782948491.550,39,blue,0.3766,0.8546,0.0000,0.0000,0.9310,0.0690,0.6954,693,502,728,534,-1,,,,,,unknown,blue,True,False
1782948505.535,69,blue,0.2963,0.7753,0.0000,0.0000,1.0000,0.0000,0.6309,453,712,504,751,-1,,,,,,unknown,blue,True,False
1782948506.734,70,blue,0.2222,0.8502,0.0000,0.0000,1.0000,0.0000,0.6590,460,575,502,612,-1,,,,,,unknown,blue,True,False
1782948508.038,71,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7060,455,662,503,700,4,,,,,,unknown,blue,True,False
1782948509.145,72,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6563,447,652,495,690,4,,,,,,unknown,blue,True,False
1782948510.788,74,blue,0.2955,0.7637,0.0000,0.0000,1.0000,0.0000,0.6479,445,643,492,681,4,,,,,,unknown,blue,True,False
1782948511.906,75,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7612,436,674,487,717,-1,,,,False,,off,blue,True,False
1782948513.040,76,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7297,442,655,492,693,4,,,,False,,off,blue,True,False
1782948514.311,77,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6026,450,604,500,644,4,,,,False,,off,blue,True,False
1782948515.483,78,blue,0.3333,0.8150,0.0000,0.0000,1.0000,0.0000,0.7932,410,654,455,693,-1,,,,,,unknown,blue,True,False
1782948516.572,79,blue,0.3056,0.8508,0.0000,0.0000,1.0000,0.0000,0.7555,490,653,537,690,4,,,,False,,on,blue,True,False
1782948517.741,80,blue,0.3704,0.7893,0.0000,0.0000,1.0000,0.0000,0.6644,558,642,602,679,-1,,,,False,,on,blue,True,False
1782948519.362,82,blue,0.2778,0.8406,0.0000,0.0000,1.0000,0.0000,0.7180,542,648,590,688,-1,,,,True,0.500,on,blue,True,True
1782948520.544,83,blue,0.2346,0.8879,0.0000,0.0000,1.0000,0.0000,0.7135,470,646,519,685,8,,,,,,unknown,blue,True,False
1782948521.718,84,blue,0.2222,0.8187,0.0000,0.0000,1.0000,0.0000,0.7309,473,664,519,701,8,,,,,,unknown,blue,True,False
1782948522.827,85,blue,0.3810,0.8134,0.0000,0.0000,1.0000,0.0000,0.8023,476,636,521,673,8,,,,,,unknown,blue,True,False
1782948523.964,86,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7636,476,660,524,698,8,,,,,,unknown,blue,True,False
1782948525.511,88,blue,0.3519,0.8237,0.0000,0.0000,1.0000,0.0000,0.5029,463,725,526,765,-1,,,,False,,on,blue,True,False
1782948542.256,125,blue,0.0420,0.6516,0.0000,0.0000,1.0000,0.0000,0.6734,524,632,583,684,-1,,,,,,unknown,blue,True,False
1782948545.809,132,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7129,541,716,592,755,-1,,,,,,unknown,blue,True,False
1782948547.405,134,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7050,540,654,582,692,-1,,,,False,,off,blue,True,False
1782948549.368,137,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6642,435,637,475,673,-1,,,,False,,off,blue,True,False
1782948550.592,138,blue,0.0251,0.8903,0.0000,0.0000,1.0000,0.0000,0.5553,519,642,560,678,-1,,,,,,unknown,blue,True,False
1782948554.628,146,blue,0.0306,0.8863,0.0000,0.0000,1.0000,0.0000,0.6404,619,429,658,465,-1,,,,False,,on,blue,True,False
1782948559.505,156,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6722,962,592,1009,647,-1,,,,,,unknown,blue,True,False
1782948561.662,159,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5153,959,611,1004,658,-1,,,,False,,off,blue,True,False
1782948562.228,159,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5045,649,497,769,579,-1,,,,False,,off,blue,True,False
1782948564.691,163,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5556,903,571,948,618,-1,,,,,,unknown,blue,True,False
1782948575.786,188,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5133,673,535,739,595,-1,,,,,,unknown,blue,True,False
1782948577.296,190,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6943,661,535,727,591,-1,,,,,,unknown,blue,True,False
1782948578.315,191,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5073,613,506,699,561,-1,,,,,,unknown,blue,True,False
1782948581.178,196,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5669,969,495,1003,529,-1,,,,False,,off,blue,True,False
1782948585.579,205,blue,0.4308,0.9074,0.0000,0.0000,1.0000,0.0000,0.5700,451,737,512,768,-1,,,,False,,on,blue,True,False
1782948586.627,206,blue,0.4231,0.8788,0.0000,0.0000,1.0000,0.0000,0.6494,458,721,513,762,-1,,,,False,,on,blue,True,False
1782948587.628,207,blue,0.0225,0.9102,0.0000,0.0000,1.0000,0.0000,0.7559,460,684,511,725,-1,,,,True,1.000,on,blue,True,True
1782948590.111,211,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6140,469,611,509,645,-1,,,,,,unknown,blue,True,False
1782948592.785,216,blue,0.5556,0.8923,0.0000,0.0000,1.0000,0.0000,0.6248,472,583,513,619,-1,,,,False,,on,blue,True,False
1782948595.776,221,blue,0.0329,0.9012,0.0000,0.0000,0.9231,0.0769,0.7771,475,328,522,370,-1,,,,False,,on,blue,True,False
1782948596.865,222,blue,0.3385,0.8748,0.0000,0.0000,1.0000,0.0000,0.7284,459,711,511,749,-1,,,,True,0.500,on,blue,True,True
1782948607.788,245,blue,0.4675,0.8926,0.0000,0.0000,0.9306,0.0694,0.7550,634,700,684,743,-1,,,,,,unknown,blue,True,False
1782948611.051,251,blue,0.4727,0.8801,0.0000,0.0000,0.9615,0.0385,0.5442,652,729,704,767,-1,,,,,,unknown,blue,True,False
1782948612.145,252,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7762,655,715,704,755,32,,,,,,unknown,blue,True,False
