timestamp,frame,color,color_confidence,intensity,vote_red,vote_green,vote_blue,vote_other,det_confidence,x1,y1,x2,y2,tracking_id,pos3d_x,pos3d_y,pos3d_z,blink_is_blinking,blink_hz,blink_phase,target_color,target_blinking,target_match
1783454473.725,1,red,0.3283,0.7630,1.0000,0.0000,0.0000,0.0000,0.9304,475,441,592,540,1,155.9464,183.0357,164.0000,,,unknown,red,False,False
1783454475.302,2,red,0.3040,0.7656,1.0000,0.0000,0.0000,0.0000,0.8982,536,437,642,531,1,,,,,,unknown,red,False,False
1783454476.694,3,red,0.3311,0.7667,1.0000,0.0000,0.0000,0.0000,0.8922,454,401,555,490,1,,,,,,unknown,red,False,False
1783454478.054,4,red,0.3382,0.7643,1.0000,0.0000,0.0000,0.0000,0.6386,376,377,475,463,1,,,,True,0.680,on,red,False,False
1783454479.478,5,red,0.3308,0.7641,1.0000,0.0000,0.0000,0.0000,0.8978,379,387,481,469,1,,,,True,0.690,on,red,False,False
1783454480.761,6,red,0.3501,0.7734,1.0000,0.0000,0.0000,0.0000,0.9164,336,375,436,453,1,,,,True,0.700,on,red,False,False
1783454482.243,7,red,0.3232,0.7720,1.0000,0.0000,0.0000,0.0000,0.9101,341,373,437,452,1,,,,True,0.720,on,red,False,False
1783454483.762,8,red,0.3386,0.7673,1.0000,0.0000,0.0000,0.0000,0.9201,348,353,445,435,1,,,,True,0.710,on,red,False,False
1783454485.042,9,red,0.2971,0.7811,1.0000,0.0000,0.0000,0.0000,0.9246,346,356,444,439,1,,,,True,0.700,on,red,False,False
1783454486.580,10,red,0.3476,0.7682,1.0000,0.0000,0.0000,0.0000,0.9167,355,351,451,432,1,,,,True,0.710,on,red,False,False
1783454487.996,11,red,0.3384,0.7713,1.0000,0.0000,0.0000,0.0000,0.6053,359,356,456,439,1,,,,True,0.690,on,red,False,False
1783454489.342,12,red,0.3289,0.7788,1.0000,0.0000,0.0000,0.0000,0.9259,384,342,479,423,1,,,,True,0.700,on,red,False,False
1783454490.802,13,red,0.3503,0.7848,1.0000,0.0000,0.0000,0.0000,0.9224,440,388,541,467,1,,,,True,0.720,on,red,False,False
1783454492.126,14,red,0.3730,0.7949,1.0000,0.0000,0.0000,0.0000,0.9075,502,379,603,456,1,,,,True,0.710,on,red,False,False
1783454493.648,15,red,0.3430,0.7968,1.0000,0.0000,0.0000,0.0000,0.9193,551,381,655,463,1,,,,True,0.710,on,red,False,False
1783454495.022,16,red,0.3391,0.7998,1.0000,0.0000,0.0000,0.0000,0.9165,518,378,623,460,1,,,,True,0.720,on,red,False,False
1783454496.371,17,red,0.3478,0.8082,1.0000,0.0000,0.0000,0.0000,0.9060,480,409,583,492,1,,,,True,0.710,on,red,False,False
1783454498.007,18,red,0.3524,0.8017,1.0000,0.0000,0.0000,0.0000,0.9114,458,389,557,477,1,,,,True,0.710,on,red,False,False
1783454499.406,19,red,0.3822,0.7931,1.0000,0.0000,0.0000,0.0000,0.9365,506,401,612,485,1,,,,True,0.690,on,red,False,False
1783454500.854,20,red,0.3570,0.7974,1.0000,0.0000,0.0000,0.0000,0.8875,479,405,582,491,1,,,,True,0.680,on,red,False,False
1783454502.505,21,red,0.3816,0.7967,1.0000,0.0000,0.0000,0.0000,0.9134,495,374,593,463,1,,,,True,0.690,on,red,False,False
