timestamp,frame,color,color_confidence,intensity,vote_red,vote_green,vote_blue,vote_other,det_confidence,x1,y1,x2,y2,tracking_id,pos3d_x,pos3d_y,pos3d_z,blink_is_blinking,blink_hz,blink_phase,target_color,target_blinking,target_match
1782949417.359,26,blue,0.0303,0.9243,0.0000,0.0000,1.0000,0.0000,0.6546,568,384,602,417,-1,,,,,,unknown,blue,False,False
1782949418.441,27,blue,0.0295,0.8895,0.0000,0.0000,0.8889,0.1111,0.8123,551,480,588,513,-1,,,,,,unknown,blue,False,False
1782949421.253,32,blue,0.5143,0.8834,0.0000,0.0000,0.9722,0.0278,0.7439,567,464,601,498,-1,,,,,,unknown,blue,False,False
1782949422.397,33,blue,0.5238,0.8664,0.0000,0.0000,0.9773,0.0227,0.5385,575,534,613,570,-1,,,,True,0.520,on,blue,False,False
1782949424.448,36,blue,0.0262,0.8941,0.0000,0.0000,1.0000,0.0000,0.8332,579,644,636,697,-1,,,,True,0.510,on,blue,False,False
1782949425.894,38,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5530,48,620,99,664,-1,,,,True,0.650,off,blue,False,False
1782949436.130,60,blue,0.2500,0.7652,0.0000,0.0000,1.0000,0.0000,0.7367,520,721,590,768,-1,,,,,,unknown,blue,False,False
1782949437.697,62,blue,0.2444,0.7557,0.0000,0.0000,1.0000,0.0000,0.6331,415,725,485,768,-1,,,,,,unknown,blue,False,False
1782949438.710,63,blue,0.2308,0.7568,0.0000,0.0000,1.0000,0.0000,0.6314,436,725,496,767,-1,,,,,,unknown,blue,False,False
1782949439.768,64,blue,0.2149,0.7544,0.0000,0.0000,1.0000,0.0000,0.8142,453,672,508,717,-1,,,,,,unknown,blue,False,False
1782949440.986,65,blue,0.2727,0.8135,0.0000,0.0000,1.0000,0.0000,0.7161,462,573,514,619,10,,,,,,unknown,blue,False,False
1782949442.180,66,blue,0.2222,0.7922,0.0000,0.0000,1.0000,0.0000,0.7489,423,601,476,647,10,,,,,,unknown,blue,False,False
1782949447.987,78,blue,0.4583,0.8508,0.0000,0.0000,1.0000,0.0000,0.7458,722,550,774,595,-1,,,,,,unknown,blue,False,False
1782949471.708,132,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5340,993,448,1023,513,-1,,,,,,unknown,blue,False,False
1782949472.846,133,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5227,992,429,1024,494,12,,,,,,unknown,blue,False,False
1782949473.781,134,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5178,996,429,1024,496,12,,,,,,unknown,blue,False,False
1782949474.664,135,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5683,994,427,1023,490,12,,,,,,unknown,blue,False,False
1782949475.572,136,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5952,995,400,1023,459,-1,,,,,,unknown,blue,False,False
1782949491.245,171,blue,0.0343,0.8909,0.0000,0.0000,0.8667,0.1333,0.5387,286,656,338,698,-1,,,,,,unknown,blue,False,False
1782949492.409,172,blue,0.6204,0.8885,0.0000,0.0000,0.9254,0.0746,0.6373,411,690,466,733,-1,,,,,,unknown,blue,False,False
1782949493.035,172,blue,0.5583,0.8885,0.0000,0.0000,0.9254,0.0746,0.5445,413,690,466,732,-1,,,,,,unknown,blue,False,False
1782949494.385,173,blue,0.4750,0.9064,0.0000,0.0000,0.7544,0.2456,0.7975,427,600,476,643,16,,,,,,unknown,blue,False,False
1782949495.471,174,blue,0.0229,0.8805,0.0000,0.0000,1.0000,0.0000,0.6896,146,687,198,729,-1,,,,,,unknown,blue,False,False
1782949496.666,175,blue,0.3782,0.8699,0.0000,0.0000,0.9322,0.0678,0.8194,345,655,391,695,-1,,,,True,0.480,on,blue,False,False
