timestamp,frame,color,color_confidence,intensity,vote_red,vote_green,vote_blue,vote_other,det_confidence,x1,y1,x2,y2,tracking_id,pos3d_x,pos3d_y,pos3d_z
1782242805.440,49,green,0.0351,0.6459,0.0000,1.0000,0.0000,0.0000,0.5172,469,323,561,399,-1,,,
1782242807.184,50,green,0.0426,0.6475,0.0000,1.0000,0.0000,0.0000,0.5937,469,324,561,399,1,,,
1782242810.191,52,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8002,387,402,481,477,-1,,,
1782242811.959,53,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9336,508,619,597,692,-1,,,
1782242813.567,54,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6232,452,682,534,745,-1,,,
1782242815.284,55,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9335,391,678,473,742,4,,,
1782242816.936,56,green,0.0336,0.6386,0.0000,1.0000,0.0000,0.0000,0.9373,290,567,384,647,-1,,,
1782242818.561,57,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9200,299,623,384,691,-1,,,
1782242820.304,58,green,0.0397,0.6427,0.0000,1.0000,0.0000,0.0000,0.7925,243,556,321,623,6,,,
1782242821.999,59,blue,0.0238,0.7191,0.0000,0.0000,1.0000,0.0000,0.8389,135,574,220,647,6,,,
1782242825.326,63,green,0.0240,0.6400,0.0000,1.0000,0.0000,0.0000,0.7359,420,488,494,547,-1,,,
1782242826.784,64,white,0.1810,0.9803,0.0000,0.0000,0.0000,0.0000,0.8959,638,311,716,375,-1,,,
1782242828.550,66,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6173,585,606,671,674,-1,,,
1782242830.259,67,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7125,536,639,617,701,9,,,
1782242831.661,68,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7770,447,645,525,707,9,,,
1782242833.176,69,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6671,382,631,462,695,9,,,
1782242834.600,70,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7096,327,608,407,672,9,,,
1782242836.155,71,green,0.0385,0.6480,0.0000,0.3750,0.2500,0.3750,0.7235,245,599,319,663,9,,,
1782242837.718,72,blue,0.0833,0.7454,0.0000,0.0000,1.0000,0.0000,0.7977,29,643,104,708,9,,,
1782242839.684,74,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8697,503,596,578,663,9,,,
1782242841.150,75,blue,0.0259,0.6913,0.0000,0.0000,0.5714,0.4286,0.6819,694,673,775,735,-1,,,
1782242843.827,79,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8257,607,667,683,728,-1,,,
1782242845.223,80,green,0.0625,0.6539,0.0000,1.0000,0.0000,0.0000,0.7291,544,533,620,594,9,,,
1782242846.949,82,green,0.0317,0.6734,0.0000,0.5714,0.1429,0.2857,0.6489,265,560,340,622,-1,,,
1782242848.836,84,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8696,562,542,638,604,-1,,,
1782242850.164,85,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7556,452,516,523,577,9,,,
1782242851.743,86,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7318,395,516,467,575,9,,,
1782242852.959,87,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8684,334,518,409,578,9,,,
1782242854.431,88,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7463,265,504,342,566,9,,,
1782242856.179,90,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7337,583,444,651,497,-1,,,
1782242857.490,91,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8949,506,445,577,502,14,,,
1782242858.959,92,green,0.2837,0.9483,0.0000,0.9831,0.0169,0.0000,0.8037,405,168,480,227,-1,,,
1782242860.089,93,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9207,295,605,393,684,-1,,,
1782242861.594,94,blue,0.0202,0.6887,0.0000,0.0000,1.0000,0.0000,0.9369,350,592,447,668,16,,,
1782242862.977,95,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8206,515,592,612,670,16,,,
1782242864.065,96,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8724,458,559,554,635,16,,,
1782242865.498,97,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9656,413,560,509,638,16,,,
1782242866.849,98,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9266,347,518,444,597,16,,,
1782242868.088,99,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9330,292,495,388,572,16,,,
1782242869.661,100,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8417,221,476,315,552,16,,,
1782242870.856,101,green,0.0711,0.6625,0.0000,0.8276,0.1034,0.0690,0.8752,134,299,215,396,16,,,
1782242872.388,102,green,0.4352,0.7282,0.0000,0.8468,0.0426,0.1106,0.7698,2,491,99,580,-1,,,
1782242873.785,103,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9427,426,459,529,540,-1,,,
1782242874.983,104,green,0.0136,0.6359,0.0000,1.0000,0.0000,0.0000,0.8654,372,466,480,551,18,,,
1782242876.959,106,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9482,308,431,423,519,18,,,
1782242878.048,107,green,0.1731,0.6937,0.0000,1.0000,0.0000,0.0000,0.8230,229,413,344,503,18,,,
1782242879.429,108,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8870,181,399,294,487,18,,,
