timestamp,frame,color,color_confidence,intensity,vote_red,vote_green,vote_blue,vote_other,det_confidence,x1,y1,x2,y2,tracking_id,pos3d_x,pos3d_y,pos3d_z
1782241740.340,1,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9349,270,560,351,629,1,,,
1782241741.904,2,green,0.2100,0.7509,0.0000,1.0000,0.0000,0.0000,0.8957,499,423,610,517,-1,164.0089,161.2054,157.0000
1782241743.304,3,blue,0.0176,0.6503,0.0000,0.0000,1.0000,0.0000,0.7985,369,476,523,614,-1,54.5625,132.0759,97.0000
1782241744.945,4,green,0.5614,0.9299,0.0000,0.9710,0.0018,0.0271,0.9120,182,526,400,721,-1,-8.5446,112.8482,66.0000
1782241746.394,5,green,0.6443,0.8746,0.0000,0.9854,0.0046,0.0100,0.9532,295,389,484,561,4,26.7991,91.2723,87.0000
1782241748.178,6,green,0.2238,0.7177,0.0000,1.0000,0.0000,0.0000,0.9344,236,447,428,629,4,4.5000,111.7500,84.0000
1782241749.902,7,green,0.0642,0.7048,0.0000,1.0000,0.0000,0.0000,0.9690,235,573,399,721,4,,,
