timestamp,frame,color,color_confidence,intensity,vote_red,vote_green,vote_blue,vote_other,det_confidence,x1,y1,x2,y2,tracking_id,pos3d_x,pos3d_y,pos3d_z
1782241658.079,27,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8830,684,597,760,662,-1,,,
1782241660.414,29,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6412,601,560,697,636,-1,,,
1782241661.722,30,blue,0.1636,0.6821,0.0000,0.0000,1.0000,0.0000,0.5579,617,535,696,607,-1,,,
1782241663.508,31,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8796,433,586,506,650,3,,,
1782241677.779,55,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6530,374,564,440,622,-1,,,
1782241679.344,56,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9574,521,541,616,621,-1,,,
1782241680.907,57,blue,0.3491,0.7869,0.0000,0.0000,1.0000,0.0000,0.7114,567,481,699,596,-1,,,
1782241682.406,58,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8148,490,582,789,768,-1,59.8125,81.5625,42.0000
1782241684.316,60,blue,0.0187,0.8210,0.0000,0.0000,1.0000,0.0000,0.7631,406,544,724,764,-1,44.8438,75.7768,41.0000
1782241685.288,60,blue,0.0200,0.8080,0.0000,0.0000,1.0000,0.0000,0.5600,413,540,722,765,-1,45.2098,75.4107,41.0000
1782241686.709,61,blue,0.3214,0.7606,0.0000,0.0000,1.0000,0.0000,0.9614,392,525,586,686,-1,56.5848,122.2098,75.0000
