timestamp,frame,color,color_confidence,intensity,vote_red,vote_green,vote_blue,vote_other,det_confidence,x1,y1,x2,y2,tracking_id,pos3d_x,pos3d_y,pos3d_z
1782241454.467,47,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6236,303,418,492,554,-1,,,
1782241554.849,265,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8067,9,491,114,578,-1,,,
1782241560.749,274,green,0.3792,0.8148,0.0000,1.0000,0.0000,0.0000,0.7886,462,381,545,443,-1,,,
1782241561.861,275,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9263,498,389,578,452,3,,,
1782241563.167,276,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5430,443,445,521,507,-1,,,
1782241564.583,277,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7706,367,435,443,498,4,,,
1782241565.874,278,green,0.3469,0.7544,0.0000,1.0000,0.0000,0.0000,0.6388,287,426,360,489,4,,,
1782241567.303,279,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7525,237,470,309,529,-1,,,
1782241568.683,280,green,0.4048,0.8092,0.0000,1.0000,0.0000,0.0000,0.7401,180,469,249,529,5,,,
