timestamp,frame,color,color_confidence,intensity,vote_red,vote_green,vote_blue,vote_other,det_confidence,x1,y1,x2,y2,tracking_id,pos3d_x,pos3d_y,pos3d_z
1782150109.096,3,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7262,527,478,746,667,-1,94.5179,99.3036,67.0000
1782150110.432,5,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5629,471,447,697,636,-1,82.5000,94.0625,70.0000
1782150111.545,6,red,0.0030,0.6689,1.0000,0.0000,0.0000,0.0000,0.8433,339,372,553,569,2,43.3125,79.0625,77.0000
1782150112.698,7,red,0.0039,0.6614,1.0000,0.0000,0.0000,0.0000,0.8101,405,374,619,566,2,66.0000,79.0625,77.0000
1782150113.868,8,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7624,415,428,629,614,2,66.7321,92.8304,74.0000
1782150115.360,10,blue,0.4700,0.8265,0.0018,0.0000,0.9982,0.0000,0.5890,423,433,643,619,2,70.3661,94.4821,74.0000
1782150116.523,11,blue,0.4975,0.8309,0.0009,0.0000,0.9991,0.0000,0.6238,421,433,639,619,2,69.3750,94.4821,74.0000
1782150118.297,14,blue,0.4795,0.8242,0.0009,0.0000,0.9991,0.0000,0.5139,407,410,624,597,2,65.2902,88.0580,75.0000
1782150119.318,15,blue,0.4924,0.8261,0.0027,0.0000,0.9973,0.0000,0.7864,413,419,630,605,2,66.4018,89.8571,74.0000
1782150120.395,16,blue,0.4795,0.8226,0.0036,0.0000,0.9964,0.0000,0.5427,429,411,648,597,2,72.9911,88.3929,75.0000
1782150121.501,17,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5717,434,419,652,603,2,73.6696,89.5268,74.0000
1782150122.934,19,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6480,440,429,658,615,2,75.6518,93.1607,74.0000
1782150124.098,20,blue,0.4786,0.8254,0.0018,0.0000,0.9982,0.0000,0.7360,405,431,620,618,2,63.4286,93.8214,74.0000
1782150125.515,22,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8002,404,454,624,633,2,62.3571,97.3929,72.0000
1782150126.782,24,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6774,383,448,597,630,2,54.6429,96.1071,72.0000
1782150146.228,73,blue,0.6277,0.8523,0.0261,0.0000,0.9739,0.0000,0.5281,390,264,617,456,-1,64.5402,42.3214,79.0000
1782150148.242,77,blue,0.5539,0.8406,0.0151,0.0000,0.9849,0.0000,0.8184,431,341,655,534,-1,76.6562,67.7188,77.0000
1782150150.088,80,blue,0.5295,0.8421,0.0032,0.0000,0.9968,0.0000,0.5862,429,363,652,555,-1,73.6607,73.3259,75.0000
