timestamp,frame,color,color_confidence,intensity,vote_red,vote_green,vote_blue,vote_other,det_confidence,x1,y1,x2,y2,tracking_id,pos3d_x,pos3d_y,pos3d_z
1782241712.068,4,red,0.5255,0.9120,1.0000,0.0000,0.0000,0.0000,0.9379,787,465,858,530,-1,,,
1782241714.712,7,red,0.5016,0.8749,1.0000,0.0000,0.0000,0.0000,0.9903,424,524,571,650,-1,82.1786,161.1071,104.0000
1782241716.362,8,blue,0.0683,0.8620,0.0000,0.0000,1.0000,0.0000,0.9380,349,440,560,618,-1,51.4464,110.9554,86.0000
1782241717.818,9,red,0.6471,0.9743,1.0000,0.0000,0.0000,0.0000,0.9460,187,442,374,600,-1,-16.7857,117.9196,94.0000
1782241719.314,10,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9474,325,428,497,573,4,41.0312,117.2321,101.0000
1782241721.102,11,red,0.3178,0.7736,1.0000,0.0000,0.0000,0.0000,0.6547,393,461,556,607,4,68.7500,131.2500,100.0000
1782241722.287,12,red,0.5056,0.8454,1.0000,0.0000,0.0000,0.0000,0.8599,267,215,351,283,-1,,,
