timestamp,frame,color,color_confidence,intensity,vote_red,vote_green,vote_blue,vote_other,det_confidence,x1,y1,x2,y2,tracking_id,pos3d_x,pos3d_y,pos3d_z
1782149928.926,83,blue,0.7817,0.8893,0.0432,0.0000,0.9551,0.0018,0.8778,12,495,187,654,-1,-93.7277,141.6518,95.0000
1782149930.704,86,blue,0.4145,0.8166,0.0082,0.0000,0.9918,0.0000,0.5527,443,467,669,658,-1,73.7500,100.6250,70.0000
1782149931.928,87,blue,0.4003,0.8116,0.0039,0.0000,0.9961,0.0000,0.6177,402,452,636,646,2,60.4107,93.8036,68.0000
1782149932.914,88,red,0.0041,0.6524,1.0000,0.0000,0.0000,0.0000,0.8086,385,421,620,627,2,55.2500,86.2143,68.0000
1782149934.513,90,blue,0.4572,0.8266,0.0059,0.0000,0.9941,0.0000,0.7490,300,439,536,637,2,28.8750,87.8036,66.0000
1782149936.012,92,red,0.0085,0.6558,0.6364,0.0000,0.3636,0.0000,0.5256,296,408,527,610,2,27.6250,81.6607,68.0000
1782149937.019,93,red,0.0057,0.6374,0.6667,0.0000,0.3333,0.0000,0.6032,299,427,536,625,2,29.0134,85.5446,67.0000
1782149938.074,94,red,0.0041,0.6631,1.0000,0.0000,0.0000,0.0000,0.5087,328,436,565,632,2,37.6875,87.9375,67.0000
1782149939.151,95,red,0.0030,0.6529,1.0000,0.0000,0.0000,0.0000,0.8747,335,472,572,672,2,38.0000,94.8571,64.0000
1782149940.165,96,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7697,332,449,564,652,2,37.1429,89.9554,65.0000
1782149941.281,97,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6800,326,514,560,716,2,32.9464,100.4464,60.0000
1782149942.451,98,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6991,327,522,568,721,2,33.4509,100.3527,59.0000
1782149943.417,99,blue,0.4243,0.8182,0.0017,0.0000,0.9983,0.0000,0.5286,430,483,677,687,2,64.4911,95.4911,62.0000
1782149944.535,100,blue,0.3977,0.8045,0.0000,0.0000,1.0000,0.0000,0.6271,447,503,701,707,2,68.0357,97.7679,60.0000
1782149946.853,104,blue,0.4075,0.8193,0.0018,0.0000,0.9982,0.0000,0.8436,419,470,661,675,2,61.8750,93.3750,63.0000
1782149947.889,105,blue,0.4046,0.8192,0.0017,0.0000,0.9983,0.0000,0.6885,448,452,693,654,2,71.4286,89.4286,64.0000
1782149949.075,106,red,0.0019,0.6627,1.0000,0.0000,0.0000,0.0000,0.8593,450,443,690,648,2,72.5446,88.5045,65.0000
1782149950.614,108,blue,0.4977,0.8352,0.0068,0.0000,0.9932,0.0000,0.8886,456,412,699,620,2,75.7232,81.3214,66.0000
1782149951.745,109,blue,0.4890,0.8361,0.0075,0.0000,0.9925,0.0000,0.7738,459,418,702,625,2,76.6071,82.7946,66.0000
1782149953.658,112,blue,0.4956,0.8358,0.0066,0.0000,0.9934,0.0000,0.8312,467,423,705,628,2,77.1875,82.7009,65.0000
1782149954.776,113,blue,0.4736,0.8331,0.0134,0.0000,0.9866,0.0000,0.6380,453,436,697,637,2,73.9955,85.8929,65.0000
1782149955.926,114,blue,0.4701,0.8286,0.0034,0.0000,0.9966,0.0000,0.6334,422,454,668,651,2,65.2902,90.5357,65.0000
1782149957.079,115,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5723,421,455,664,651,2,64.4196,90.8259,65.0000
1782149958.119,116,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6386,430,460,672,662,2,66.0000,91.7143,64.0000
1782149959.249,117,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5997,415,425,648,626,2,64.0536,86.5179,68.0000
1782149961.501,121,blue,0.5436,0.8461,0.0142,0.0000,0.9858,0.0000,0.5261,328,411,550,596,2,39.8438,88.0580,75.0000
1782149963.346,124,red,0.0022,0.6400,0.4000,0.0000,0.6000,0.0000,0.7344,357,481,576,661,2,45.6250,103.4375,70.0000
