timestamp,frame,color,color_confidence,intensity,vote_red,vote_green,vote_blue,vote_other,det_confidence,x1,y1,x2,y2,tracking_id,pos3d_x,pos3d_y,pos3d_z
1782242565.605,13,blue,0.0025,0.7697,0.0000,0.0000,1.0000,0.0000,0.9617,325,490,648,765,-1,,,
1782242567.257,14,green,0.1295,0.9508,0.0000,0.9540,0.0460,0.0000,0.9654,565,431,733,576,-1,155.6875,124.4554,106.0000
1782242569.252,15,white,0.1456,0.9493,0.0000,0.0000,0.0000,0.0000,0.9449,538,440,696,574,2,155.1295,139.4598,117.0000
1782242570.846,16,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7194,750,516,862,611,-1,288.5625,191.7812,133.0000
1782242572.816,17,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9318,696,612,799,695,-1,,,
1782242574.466,18,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9298,510,591,614,675,-1,,,
1782242576.168,19,white,0.2571,0.9885,0.0000,0.0000,0.0000,0.0000,0.9601,364,530,506,646,-1,,,
1782242578.077,20,blue,0.0172,0.8140,0.0000,0.0000,1.0000,0.0000,0.9418,703,520,858,660,-1,201.2500,153.1250,98.0000
1782242580.133,21,green,0.0865,0.9394,0.0000,0.8182,0.1727,0.0091,0.9612,624,538,771,679,7,,,
1782242581.867,22,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9169,191,555,386,717,-1,,,
1782242583.634,23,green,0.1867,0.6808,0.0000,1.0000,0.0000,0.0000,0.9542,298,449,411,540,-1,,,
1782242585.386,24,green,0.2308,0.6960,0.0000,1.0000,0.0000,0.0000,0.8089,322,394,387,453,-1,,,
1782242592.846,34,white,0.3590,0.9535,0.0000,0.0000,0.0000,0.0000,0.5308,255,506,319,563,-1,,,
1782242594.673,35,green,0.1333,0.6491,0.0000,1.0000,0.0000,0.0000,0.8507,628,396,713,470,-1,,,
1782242596.427,36,green,0.0392,0.6484,0.0000,1.0000,0.0000,0.0000,0.8540,576,404,664,479,-1,,,
1782242598.168,37,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5783,344,382,418,441,-1,,,
1782242599.766,38,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8630,289,385,366,448,-1,,,
1782242601.569,39,green,0.0861,0.6558,0.0000,1.0000,0.0000,0.0000,0.9590,383,482,485,562,-1,,,
1782242603.143,40,white,0.1435,0.9574,0.0000,0.0000,0.0000,0.0000,0.9457,406,494,628,674,-1,62.4420,109.0357,71.0000
1782242604.607,41,blue,0.0210,0.7706,0.0000,0.0000,1.0000,0.0000,0.6318,627,678,787,768,-1,,,
1782242606.304,42,white,0.6133,0.9668,0.0000,0.0000,0.0000,0.0000,0.9711,650,473,792,586,-1,225.5625,162.5625,126.0000
1782242607.964,43,white,0.6273,0.9570,0.0000,0.0000,0.0000,0.0000,0.7549,566,394,673,479,-1,,,
1782242609.470,44,green,0.0728,0.9198,0.0000,1.0000,0.0000,0.0000,0.7362,437,426,525,499,-1,,,
1782242611.198,45,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9354,276,558,371,635,-1,,,
1782242612.723,46,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9600,293,485,381,558,-1,,,
1782242614.270,47,green,0.2238,0.7161,0.0000,1.0000,0.0000,0.0000,0.9019,570,439,641,496,-1,,,
