timestamp,frame,color,color_confidence,intensity,vote_red,vote_green,vote_blue,vote_other,det_confidence,x1,y1,x2,y2,tracking_id,pos3d_x,pos3d_y,pos3d_z
1782242487.947,5,blue,0.0099,0.8538,0.0263,0.0000,0.9737,0.0000,0.8868,585,524,841,739,-1,100.0045,99.4955,57.0000
1782242489.600,6,blue,0.0116,0.7861,0.0000,0.0000,1.0000,0.0000,0.9586,668,463,807,584,-1,,,
1782242491.137,7,white,0.1484,0.9438,0.0000,0.0000,0.0000,0.0000,0.9455,434,443,564,551,-1,,,
1782242492.663,8,blue,0.5665,0.8445,0.0000,0.0000,1.0000,0.0000,0.9721,417,574,562,694,-1,79.9732,186.4464,106.0000
1782242494.257,9,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9110,744,457,860,560,-1,,,
1782242496.019,10,blue,0.5164,0.7827,0.0000,0.0000,1.0000,0.0000,0.7237,827,402,914,477,-1,,,
1782242497.684,11,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7745,416,538,487,596,-1,,,
1782242499.435,12,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7692,660,573,734,630,-1,,,
1782242501.019,13,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6487,651,626,740,700,-1,,,
1782242503.057,14,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9282,527,609,641,699,-1,,,
1782242505.115,15,blue,0.5592,0.9418,0.0000,0.0000,1.0000,0.0000,0.9742,656,544,805,676,-1,192.1875,173.4375,105.0000
1782242507.048,16,blue,0.1060,0.8679,0.0000,0.0000,1.0000,0.0000,0.8886,725,602,878,744,11,,,
1782242509.012,17,blue,0.0339,0.8306,0.0000,0.0000,1.0000,0.0000,0.9721,710,556,842,674,11,,,
1782242510.677,18,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9181,697,505,811,601,-1,,,
1782242512.239,19,blue,0.5370,0.8493,0.0000,0.0000,1.0000,0.0000,0.9581,554,417,636,485,-1,,,
1782242514.788,21,white,0.4015,0.9679,0.0000,0.0000,0.0000,0.0000,0.5360,614,468,667,515,-1,,,
1782242524.613,34,blue,0.6275,0.9247,0.0000,0.0000,1.0000,0.0000,0.6513,365,547,426,607,-1,,,
1782242526.079,35,blue,0.5238,0.7711,0.0000,0.0000,1.0000,0.0000,0.9108,725,468,815,544,-1,,,
1782242527.922,36,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8617,811,453,902,527,-1,,,
1782242529.721,37,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9633,622,628,757,733,-1,177.9107,212.1429,108.0000
1782242531.595,38,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9379,569,475,740,624,-1,144.6339,133.8080,97.0000
1782242533.241,39,blue,0.5421,0.8317,0.0000,0.0000,1.0000,0.0000,0.9664,413,478,508,557,-1,,,
1782242535.139,40,blue,0.4103,0.9717,0.0000,0.0000,0.7250,0.2750,0.7818,539,429,606,487,-1,,,
