timestamp,frame,color,color_confidence,intensity,vote_red,vote_green,vote_blue,vote_other,det_confidence,x1,y1,x2,y2,tracking_id,pos3d_x,pos3d_y,pos3d_z
1782150362.515,7,blue,0.5342,0.8388,0.0294,0.0000,0.9706,0.0000,0.6507,471,310,694,502,-1,90.0625,57.0625,77.0000
1782150363.551,8,red,0.0128,0.6622,1.0000,0.0000,0.0000,0.0000,0.6984,467,313,691,505,1,89.0312,58.0938,77.0000
1782150364.878,9,red,0.0107,0.6602,1.0000,0.0000,0.0000,0.0000,0.5357,468,306,690,500,1,89.0312,56.0312,77.0000
1782150366.093,10,blue,0.5523,0.8482,0.0250,0.0000,0.9750,0.0000,0.5949,467,298,690,491,1,88.6875,52.9375,77.0000
1782150367.166,11,blue,0.5620,0.8497,0.0274,0.0000,0.9726,0.0000,0.7620,457,312,677,505,1,84.9062,57.7500,77.0000
1782150368.548,12,blue,0.5300,0.8448,0.0458,0.0000,0.9542,0.0000,0.7338,384,304,607,512,1,59.3750,57.0000,76.0000
1782150369.856,13,red,0.0262,0.6745,1.0000,0.0000,0.0000,0.0000,0.6281,369,292,595,489,1,55.6875,51.5625,77.0000
1782150370.884,14,blue,0.5546,0.8521,0.0333,0.0000,0.9667,0.0000,0.5480,358,351,589,543,1,51.2277,69.3080,75.0000
1782150372.163,15,blue,0.5407,0.8475,0.0297,0.0000,0.9703,0.0000,0.8133,353,351,582,539,1,49.8750,69.5536,76.0000
1782150374.531,19,red,0.0154,0.6537,0.9211,0.0000,0.0789,0.0000,0.6487,393,347,617,537,1,62.7679,68.5357,76.0000
1782150380.406,30,blue,0.5381,0.8454,0.0274,0.0000,0.9726,0.0000,0.6439,435,336,660,530,1,77.0179,65.4821,76.0000
1782150383.410,35,blue,0.5309,0.8473,0.0217,0.0000,0.9783,0.0000,0.5387,446,334,672,531,1,82.1562,66.0000,77.0000
1782150384.670,36,red,0.0129,0.6539,1.0000,0.0000,0.0000,0.0000,0.5007,455,336,677,530,1,82.3661,64.6205,75.0000
1782150398.262,65,blue,0.5358,0.8492,0.0177,0.0000,0.9823,0.0000,0.6025,469,326,697,521,1,88.0580,61.2723,75.0000
1782150399.806,66,blue,0.5238,0.8463,0.0208,0.0000,0.9792,0.0000,0.8522,464,316,692,512,1,87.5357,59.0357,76.0000
1782150400.936,67,blue,0.5753,0.8625,0.0299,0.0000,0.9701,0.0000,0.6124,415,317,641,517,1,71.5000,60.8438,77.0000
1782150408.083,81,blue,0.5656,0.8539,0.0305,0.0000,0.9695,0.0000,0.5926,428,324,656,521,1,76.3125,62.5625,77.0000
1782150413.510,91,blue,0.5539,0.8540,0.0487,0.0000,0.9513,0.0000,0.5303,428,321,652,516,1,75.6250,61.1875,77.0000
1782150415.144,93,blue,0.5584,0.8539,0.0447,0.0000,0.9553,0.0000,0.5744,424,322,651,519,1,73.6250,61.0714,76.0000
1782150417.086,95,red,0.0234,0.6685,1.0000,0.0000,0.0000,0.0000,0.6525,431,319,654,513,1,76.3125,60.5000,77.0000
1782150421.474,103,blue,0.5358,0.8512,0.0161,0.0000,0.9839,0.0000,0.7208,427,350,649,545,1,72.0179,68.3839,74.0000
1782150422.636,104,red,0.0050,0.6644,1.0000,0.0000,0.0000,0.0000,0.5632,431,352,652,545,1,73.9955,69.6429,75.0000
1782150423.997,105,red,0.0067,0.6618,0.9375,0.0000,0.0625,0.0000,0.5412,432,356,654,550,1,74.6652,71.3170,75.0000
