timestamp,frame,color,color_confidence,intensity,vote_red,vote_green,vote_blue,vote_other,det_confidence,x1,y1,x2,y2,tracking_id,pos3d_x,pos3d_y,pos3d_z
1782243161.633,82,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6478,435,520,507,579,-1,,,
1782243165.527,86,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8942,158,640,224,696,-1,,,
1782243171.626,94,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8332,234,632,297,688,-1,,,
1782243174.368,97,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8568,468,643,534,697,-1,,,
1782243176.783,100,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7146,596,556,667,612,-1,,,
1782243179.293,103,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7957,492,581,561,638,-1,,,
1782243181.342,105,white,0.3321,0.9789,0.0000,0.0000,0.0000,0.0000,0.8334,385,353,467,420,-1,,,
1782243203.172,147,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5976,234,437,295,490,-1,,,
1782243204.458,148,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6337,482,491,551,547,-1,,,
1782243205.852,149,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5058,650,479,713,534,-1,,,
1782243207.677,151,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6983,574,443,637,497,-1,,,
1782243214.219,162,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6471,154,293,213,349,-1,,,
1782243215.456,163,red,0.1071,0.6562,1.0000,0.0000,0.0000,0.0000,0.6171,507,432,573,489,-1,,,
1782243217.347,165,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8538,649,524,718,581,-1,,,
1782243218.575,166,red,0.2078,0.8376,1.0000,0.0000,0.0000,0.0000,0.7248,571,242,641,301,-1,,,
1782243220.831,169,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7082,560,707,636,761,-1,,,
1782243223.621,173,red,0.2267,0.9446,1.0000,0.0000,0.0000,0.0000,0.8018,468,290,532,346,-1,,,
1782243226.267,177,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7247,190,393,250,448,-1,,,
1782243239.797,202,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7988,698,531,763,585,-1,,,
1782243241.064,203,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8514,640,469,704,522,-1,,,
1782243242.217,204,red,0.1061,0.6518,1.0000,0.0000,0.0000,0.0000,0.5362,603,424,663,474,-1,,,
1782243250.782,220,red,0.1189,0.6704,1.0000,0.0000,0.0000,0.0000,0.6190,190,340,250,389,-1,,,
1782243258.402,233,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5287,150,220,335,363,-1,,,
