timestamp,frame,color,color_confidence,intensity,vote_red,vote_green,vote_blue,vote_other,det_confidence,x1,y1,x2,y2,tracking_id,pos3d_x,pos3d_y,pos3d_z
1782241293.155,3,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5034,518,472,588,530,-1,,,
1782241295.807,4,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5742,467,492,536,551,-1,,,
1782241304.757,13,red,0.4196,0.8887,1.0000,0.0000,0.0000,0.0000,0.5765,472,397,534,455,-1,,,
1782241307.000,14,red,0.3566,0.9004,1.0000,0.0000,0.0000,0.0000,0.8041,471,394,532,448,3,,,
1782241312.728,20,red,0.4700,0.8723,1.0000,0.0000,0.0000,0.0000,0.6856,488,398,546,454,3,,,
1782241315.576,23,red,0.4600,0.8612,1.0000,0.0000,0.0000,0.0000,0.5627,497,396,555,447,3,,,
1782241358.975,107,green,0.3194,0.8150,0.0000,1.0000,0.0000,0.0000,0.5937,545,394,609,454,-1,,,
